YCP,CP,16_STH,22_STH,16_STS,22_STS
Y16_1_10,C1_P1,193,193,33,33
Y16_1_20,C1_P2,91,193,33,33
Y16_1_30,C1_P3,193,193,33,33
Y16_1_40,C1_P4,193,193,33,33
Y16_1_50,C1_P5,193,193,33,33
Y16_1_60,C1_P6,91,91,33,33
Y16_1_70,C1_P7,193,193,33,33
Y16_1_80,C1_P8,91,91,33,33
Y16_1_90,C1_P10,91,91,33,33
Y16_1_100,C1_P11,91,91,33,33
Y16_1_110,C1_P12,91,91,33,33
Y16_1_120,C1_P13,91,91,33,33
Y16_1_130,C1_P14,91,91,33,33
Y16_1_140,C1_P15,91,91,33,33
Y16_1_150,C1_P16,193,193,33,33
Y16_1_160,C1_P17,91,91,33,33
Y16_1_170,C1_P18,91,91,33,33
Y16_1_180,C1_P19,91,91,33,33
Y16_1_190,C1_P20,91,91,33,33
Y16_1_200,C1_P21,91,91,33,33
Y16_1_210,C1_P22,91,91,33,33
Y16_1_230,C1_P23,91,91,33,33
Y16_1_240,C1_P24,91,91,33,33
Y16_1_260,C1_P25,193,193,33,33
Y16_1_270,C1_P26,91,91,33,33
Y16_1_280,C1_P27,91,91,33,33
Y16_1_290,C1_P28,193,193,33,33
Y16_1_310,C1_P29,193,193,33,33
Y16_1_320,C1_P30,91,91,33,33
Y16_1_330,C1_P31,91,91,33,33
Y16_1_340,C1_P32,91,91,33,33
Y16_1_350,C1_P33,91,91,33,33
Y16_1_360,C1_P34,91,91,33,33
Y16_1_370,C1_P35,193,193,33,33
Y16_1_380,C1_P36,91,91,33,33
Y16_1_390,C1_P37,91,91,33,33
Y16_1_400,C1_P38,91,91,33,33
Y16_1_410,C1_P39,91,91,33,33
Y16_1_420,C1_P40,193,193,33,33
Y16_1_440,C1_P43,193,193,33,33
Y16_1_450,C1_P44,193,193,33,33
Y16_1_460,C1_P46,91,91,33,33
Y16_1_470,C1_P47,91,91,33,33
Y16_1_480,C1_P48,193,193,33,33
Y16_1_500,C1_P49,91,91,33,33
Y16_1_510,C1_P50,193,193,33,33
Y16_2_10,C2_P1,46,44,37,37
Y16_2_20,C2_P2,21,33,38,38
Y16_2_30,C2_P3,21,33,38,38
Y16_2_40,C2_P4,21,33,38,38
Y16_2_50,C2_P5,27,20,37,42
Y16_2_60,C2_P6,27,20,37,42
Y16_2_70,C2_P7,27,20,37,42
Y16_2_80,C2_P8,27,20,37,42
Y16_2_90,C2_P9,27,20,37,42
Y16_2_100,C2_P10,27,20,37,42
Y16_2_110,C2_P11,38,42,42,45
Y16_2_120,C2_P12,38,42,42,45
Y16_2_130,C2_P13,36,38,43,45
Y16_2_140,C2_P14,36,38,43,45
Y16_2_150,C2_P15,36,38,43,45
Y16_2_160,C2_P16,36,38,43,45
Y16_2_170,C2_P17,38,38,43,45
Y16_2_180,C2_P18,38,38,43,45
Y16_2_190,C2_P19,38,38,43,45
Y16_2_200,C2_P20,38,38,43,45
Y16_2_210,C2_P21,36,38,43,45
Y16_2_240,C2_P24,36,38,43,45
Y16_2_250,C2_P25,36,38,43,45
Y16_2_260,C2_P26,38,38,43,45
Y16_2_270,C2_P27,36,38,43,45
Y16_2_280,C2_P28,36,38,43,45
Y16_2_290,C2_P29,38,38,43,45
Y16_2_300,C2_P30,38,38,43,45
Y16_2_310,C2_P31,16,44,37,37
Y16_2_320,C2_P32,16,20,42,42
Y16_2_330,C2_P33,16,20,42,42
Y16_2_340,C2_P34,16,20,42,42
Y16_2_350,C2_P35,16,20,42,42
Y16_2_360,C2_P36,16,20,42,42
Y16_2_370,C2_P37,16,20,42,42
Y16_2_380,C2_P38,45,30,37,42
Y16_2_390,C2_P39,45,30,37,42
Y16_2_400,C2_P40,45,30,37,37
Y16_2_410,C2_P41,40,40,37,37
Y16_2_420,C2_P42,40,40,37,37
Y16_2_430,C2_P43,40,40,37,37
Y16_2_440,C2_P44,39,40,37,37
Y16_2_450,C2_P45,39,40,37,37
Y16_2_460,C2_P46,39,40,37,37
Y16_2_470,C2_P47,39,40,37,37
Y16_2_480,C2_P48,39,40,37,37
Y16_2_490,C2_P49,39,40,37,37
Y16_2_500,C2_P50,40,40,37,37
Y16_2_510,C2_P51,40,40,37,37
Y16_2_520,C2_P52,40,40,37,37
Y16_2_530,C2_P53,40,40,37,37
Y16_2_540,C2_P54,40,40,37,37
Y16_2_550,C2_P55,42,40,37,37
Y16_2_560,C2_P56,40,40,37,37
Y16_2_570,C2_P57,40,40,37,37
Y16_2_580,C2_P58,42,40,37,37
Y16_2_590,C2_P59,42,40,37,37
Y16_2_600,C2_P60,42,40,37,37
Y16_2_610,C2_P61,42,40,37,37
Y16_2_620,C2_P62,42,40,37,37
Y16_2_630,C2_P63,42,40,37,37
Y16_2_640,C2_P64,40,40,37,37
Y16_2_650,C2_P66,39,40,37,37
Y16_2_660,C2_P67,39,40,37,37
Y16_2_670,C2_P68,39,40,37,37
Y16_2_680,C2_P69,32,33,38,38
Y16_2_690,C2_P70,33,33,45,38
Y16_2_700,C2_P71,33,33,45,38
Y16_2_710,C2_P72,33,33,45,38
Y16_2_720,C2_P73,34,34,45,45
Y16_2_730,C2_P74,34,34,45,45
Y16_2_740,C2_P75,34,34,45,45
Y16_2_750,C2_P76,34,34,43,43
Y16_2_760,C2_P77,34,34,43,43
Y16_2_770,C2_P78,28,28,38,37
Y16_2_780,C2_P79,36,36,42,45
Y16_2_790,C2_P80,36,36,42,45
Y16_2_800,C2_P81,36,36,42,45
Y16_2_810,C2_P82,36,36,42,45
Y16_2_820,C2_P83,36,36,42,45
Y16_2_830,C2_P84,36,36,42,45
Y16_2_840,C2_P85,36,36,42,45
Y16_2_850,C2_P86,36,36,42,45
Y16_2_860,C2_P87,36,36,42,45
Y16_2_870,C2_P88,36,36,42,45
Y16_2_880,C2_P89,46,45,37,37
Y16_2_890,C2_P90,46,45,37,37
Y16_2_900,C2_P91,46,45,37,37
Y16_2_910,C2_P92,46,45,37,37
Y16_2_920,C2_P93,45,45,42,42
Y16_2_930,C2_P94,45,45,42,42
Y16_2_940,C2_P95,45,45,42,42
Y16_2_950,C2_P96,45,45,42,42
Y16_2_960,C2_P97,45,45,42,42
Y16_2_970,C2_P98,45,45,42,42
Y16_2_980,C2_P99,45,45,42,42
Y16_2_990,C2_P100,45,45,42,42
Y16_2_1000,C2_P101,22,42,42,45
Y16_2_1010,C2_P102,22,42,42,45
Y16_2_1020,C2_P103,22,42,42,45
Y16_2_1030,C2_P104,22,42,42,45
